Name,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Volkswagen,Highline II Vento,Mumbai,2013,36000,Petrol,Automatic,First,14.8,1598.0,105.0,5.0,0,5133.8325
Toyota,(Diesel) 2.5 7 BS IV Innova Seater VX,Delhi,2012,78600,Diesel,Manual,First,12.8,2494.0,102.0,7.0,0,9826.045
Hyundai,CRDi SX Verna,Jaipur,2008,170000,Diesel,Manual,Second,16.8,1493.0,110.0,5.0,0,1656.0749999999998
Maruti,Ritz VDi,Pune,2015,65000,Diesel,Manual,Second,23.2,1248.0,73.94,5.0,0,3610.2435
Audi,3.0 Q7 Quattro Technology,Pune,2008,120300,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,0,19872.899999999998
Hyundai,1.2 Asta Option i20,Pune,2016,21000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,0,6955.514999999999
Maruti,Brezza Dual Plus Tone Vitara ZDi,Coimbatore,2017,18108,Diesel,Manual,First,24.3,1248.0,88.5,5.0,1,12486.8055
Honda,City S VTEC i,Pune,2014,58407,Petrol,Manual,First,17.4,1497.0,117.3,5.0,0,6800.948
Maruti,Ciaz ZXi,Pune,2014,49500,Petrol,Manual,First,20.73,1373.0,91.1,5.0,0,6624.299999999999
Nissan,CVT Sunny XV,Kochi,2013,37199,Petrol,Automatic,First,17.5,1498.0,99.6,5.0,1,5994.991499999999
Volkswagen,1.2L Highline Polo,Hyderabad,2012,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,0,5133.8325
Maruti,Ertiga ZDI,Hyderabad,2015,59000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,0,8280.375
Maruti,Dzire Swift VDI,Jaipur,2015,60000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,0,6900.3125
Mercedes-Benz,220 C C-Class CDI Elegance New,Bangalore,2007,39037,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,0,10212.4625
Honda,Brio S,Mumbai,2013,17003,Petrol,Manual,First,19.4,1198.0,86.8,5.0,0,3477.7574999999997
Hyundai,1.1L Magna Optional i10,Hyderabad,2008,80400,Petrol,Manual,First,16.0,1086.0,66.7,5.0,0,2539.3149999999996
Hyundai,(O) 1.6 CRDi SX Verna,Jaipur,2012,75200,Diesel,Manual,First,22.32,1582.0,126.32,5.0,0,5796.2625
Maruti,Ciaz SHVS VDI,Kochi,2017,41217,Diesel,Manual,First,28.09,1248.0,88.5,5.0,0,8169.97
Ford,1.3 Flair Ikon,Pune,2006,98293,Petrol,Manual,Second,13.8,1299.0,70.0,5.0,0,1711.2775
Volkswagen,1.2 Highline MPI Polo,Pune,2017,54000,Petrol,Manual,Second,16.2,1199.0,74.0,5.0,0,6624.299999999999
Honda,1.2 Jazz V VTEC i,Chennai,2016,17377,Petrol,Manual,First,18.7,1199.0,88.7,5.0,0,6513.895
Honda,Amaze EX i-Dtech,Bangalore,2013,33800,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,0,5189.035
Hyundai,1.4 Asta CRDi i20,Hyderabad,2015,86157,Diesel,Manual,First,22.54,1396.0,88.73,5.0,0,7176.325
Maruti,Ritz VDi,Hyderabad,2012,146824,Diesel,Manual,First,21.1,1248.0,73.9,5.0,0,3919.3774999999996
Honda,City V,Chennai,2014,55000,Petrol,Manual,First,16.8,1497.0,116.3,5.0,0,7838.754999999999
Skoda,1.8 Superb TSI,Hyderabad,2010,53293,Petrol,Manual,First,13.14,1798.0,160.0,5.0,0,6624.299999999999
Maruti,Brezza LDi Option Vitara,Pune,2017,38000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,0,8821.3595
Hyundai,Asta i20,Bangalore,2009,64000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,0,4526.605
Maruti,Alto K10 VXI,Hyderabad,2017,25058,Petrol,Automatic,First,24.07,998.0,67.1,5.0,0,4360.9975
Hyundai,EON Era Plus,Kochi,2016,36700,Petrol,Manual,First,21.1,814.0,55.2,5.0,0,4835.739
Hyundai,Sportz i10,Mumbai,2011,35000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0,3036.1375
Mercedes-Benz,350,Coimbatore,2016,22732,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,0,61318.937
Audi,2.0 A6 Design Edition,Hyderabad,2014,48000,Diesel,Automatic,First,18.53,1968.0,187.74,5.0,0,32017.449999999997
Ford,1.5 EcoSport TDCi Titanium,Bangalore,2013,62084,Diesel,Manual,First,22.77,1498.0,98.59,5.0,0,7286.73
Volkswagen,Highline Passat,Kolkata,2012,39273,Diesel,Automatic,First,14.3,1968.0,140.0,5.0,0,7717.3095
Toyota,2.4 Crysta Innova ZX,Bangalore,2017,64798,Diesel,Manual,First,13.68,2393.0,147.8,7.0,1,20700.9375
Ford,Figo ZXI,Jaipur,2010,100002,Diesel,Manual,Third,20.0,1399.0,68.0,5.0,0,1413.184
Chevrolet,1.4 Aveo,Pune,2006,78000,Petrol,Manual,Third,14.49,1399.0,92.7,5.0,0,1324.86
Maruti,LXi Ritz,Coimbatore,2013,57717,Petrol,Manual,First,18.5,1197.0,85.8,5.0,0,4758.455499999999
Land,2 Freelander Rover SE,Chennai,2011,109000,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,0,18216.825
Hyundai,Asta Grand i10,Coimbatore,2017,74515,Petrol,Manual,First,18.9,1197.0,82.0,5.0,0,6226.842
Ford,3.2 4X4 Endeavour Trend,Coimbatore,2017,50484,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,0,34358.036
Audi,2.0 2008-2012 Q5,Kochi,2013,13452,Diesel,Automatic,First,12.8,1968.0,167.6,5.0,0,28109.113
Hyundai,1.6 VTVT Verna,Kochi,2017,37688,Petrol,Manual,First,17.01,1591.0,121.3,5.0,0,8699.913999999999
Mercedes-Benz,2015-2017 Avantgarde CDI E-Class E250,Chennai,2017,34000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,0,39745.799999999996
Mercedes-Benz,350 4Matic M-Class ML,Pune,2014,120000,Diesel,Automatic,First,0.0,2987.0,165.0,5.0,0,33121.5
Maruti,Dzire Swift ZXi,Pune,2008,64000,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,0,3146.5425
Honda,1.3 City EXI S,Delhi,2011,100000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,0,3864.1749999999997
Renault,85PS Duster Optional RxL,Jaipur,2014,75000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,0,8280.375
Mercedes-Benz,220 C-Class CDI New,Hyderabad,2012,86000,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,0,20976.95
BMW,30d 5 Design Pure Seater X5 xDrive,Hyderabad,2015,69000,Diesel,Automatic,First,15.97,2993.0,258.0,5.0,0,59618.7
Hyundai,1.2 Kappa Option SX Xcent,Kochi,2015,41721,Petrol,Manual,First,19.1,1197.0,82.0,5.0,0,5189.035
Maruti,AMT Dzire Plus ZXI,Hyderabad,2017,13000,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,1,9384.425
BMW,3 320d Corporate Edition Series,Kolkata,2013,38998,Diesel,Automatic,First,16.07,1995.0,181.0,4.0,0,18768.85
Maruti,800 Alto LXI,Kochi,2017,54250,Petrol,Manual,First,22.74,796.0,47.3,5.0,0,3875.2155
Audi,177 2.0 A4 Bhp Plus Premium,Bangalore,2013,45979,Diesel,Automatic,Second,17.11,1968.0,174.33,5.0,0,21528.975
Mini,Cooper S,Pune,2012,37000,Petrol,Automatic,Second,13.6,1598.0,181.0,4.0,0,18768.85
Audi,3.0 Plus Premium Q7 Quattro,Coimbatore,2015,46983,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,0,47860.5675
Chevrolet,Beat LT,Bangalore,2012,40700,Diesel,Manual,First,25.44,936.0,57.6,5.0,0,2925.7324999999996
Maruti,BS IV LXI R Wagon,Kochi,2015,43828,Petrol,Manual,First,20.51,998.0,67.04,5.0,0,3886.256
Nissan,110 PS Premium Terrano XV,Kolkata,2016,53000,Diesel,Manual,First,19.01,1461.0,108.5,5.0,0,6900.3125
BMW,3 320d Luxury Plus Series,Ahmedabad,2015,100000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,0,27325.2375
Maruti,Dzire Swift VXI,Mumbai,2015,19000,Petrol,Manual,First,20.85,1197.0,83.14,5.0,0,5796.2625
Skoda,4X2 Elegance,Jaipur,2016,84000,Diesel,Manual,First,17.72,1968.0,108.5,5.0,0,12144.55
Ford,1.5 EcoSport Ti Titanium VCT,Kochi,2018,37630,Petrol,Automatic,First,15.63,1499.0,110.4,5.0,0,10046.855
Hyundai,1.2 Magna i20,Chennai,2010,67714,Petrol,Manual,First,18.5,1197.0,80.0,5.0,0,3588.1625
Maruti,200 Cross DDiS Option S,Pune,2017,32000,Diesel,Manual,First,15.0,1248.0,88.5,5.0,0,9384.425
Hyundai,Transform VTVT Verna,Pune,2010,51000,Petrol,Manual,First,16.2,1599.0,103.2,5.0,0,3422.555
BMW,3 320d Line Luxury Series,Kochi,2015,58390,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,0,21926.432999999997
Hyundai,1.2 CRDi Grand Magna i10,Kolkata,2017,14000,Diesel,Manual,First,24.0,1186.0,73.97,5.0,1,5409.845
Honda,City V i-VTEC,Delhi,2014,55818,Petrol,Manual,Second,17.4,1497.0,117.3,5.0,1,6293.085
Maruti,1.3 Swift VXi,Chennai,2006,97800,Petrol,Manual,Third,16.1,,,,0,1932.0874999999999
Maruti,BSIV Swift VDI,Kolkata,2012,52241,Diesel,Manual,First,25.2,1248.0,74.0,5.0,0,3201.745
Maruti,1.3 Baleno Zeta,Coimbatore,2018,25433,Diesel,Manual,First,27.39,1248.0,74.0,5.0,0,8644.7115
Tata,2012-2015 LX Safari Storme,Kochi,2015,40611,Diesel,Manual,First,14.0,2179.0,138.1,7.0,0,8998.0075
Hyundai,Accent GLS,Bangalore,2008,72000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,0,2208.1
Maruti,Edition LDI Limited Swift,Hyderabad,2016,54631,Diesel,Manual,First,25.2,1248.0,74.0,5.0,0,6900.3125
Maruti,BSIV Swift VDI,Bangalore,2007,60000,Diesel,Manual,Second,17.8,1248.0,,5.0,0,3753.7699999999995
Tata,Nano XTA,Coimbatore,2016,24941,Petrol,Automatic,First,21.9,624.0,37.48,4.0,0,3521.9195
Maruti,Ertiga VDI,Ahmedabad,2017,63939,Diesel,Manual,First,25.47,1248.0,88.5,7.0,1,8556.387499999999
Maruti,AMT Celerio VXI,Delhi,2014,35214,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,1,3532.96
Maruti,BSIV Swift VDI,Delhi,2015,63000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,0,5409.845
Volkswagen,Highline Vento,Kochi,2012,121377,Petrol,Manual,First,15.04,1598.0,103.6,5.0,0,4195.389999999999
Volkswagen,1.9 2007-2011 Highline Jetta,Chennai,2009,100970,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,0,4416.2
Mini,5 Cooper D DOOR,Hyderabad,2014,60000,Diesel,Automatic,Second,20.7,1496.0,113.98,5.0,1,25945.175
Tata,Indica V2,Chennai,2008,77650,Diesel,Manual,First,17.2,1396.0,53.5,5.0,0,1269.6574999999998
Hyundai,Santro XO Xing,Hyderabad,2007,71297,Petrol,Manual,First,17.0,1086.0,,5.0,0,2428.9100000000003
Land,3.0 D Range Rover,Mumbai,2008,55001,Diesel,Automatic,Second,0.0,,,,0,29257.324999999997
Honda,CVT City VX i-VTEC,Bangalore,2015,18955,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,1,11758.1325
Jaguar,2.2 Litre Luxury XF,Coimbatore,2016,47877,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,0,39392.504
Mercedes-Benz,2015-2017 E E-Class E250 Edition,Kochi,2017,43368,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,0,35263.356999999996
Chevrolet,Cruze LTZ,Chennai,2011,73000,Diesel,Manual,Third,18.3,1991.0,147.9,5.0,0,4637.01
Mahindra,2WD W8 XUV500,Ahmedabad,2015,72007,Diesel,Manual,First,15.1,2179.0,140.0,7.0,0,10930.095
Mercedes-Benz,200 Avantgarde C C-Class CGI New,Kochi,2014,56778,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,0,17068.613
Honda,Jazz VX,Kochi,2018,20024,Petrol,Manual,First,18.2,1199.0,88.7,5.0,1,9340.263
Toyota,Etios G,Kolkata,2013,42103,Petrol,Manual,First,16.78,1496.0,88.73,5.0,0,3588.1625
Maruti,Alto BSIII LXi,Hyderabad,2012,67147,Petrol,Manual,First,19.7,796.0,46.3,5.0,0,2870.53
Maruti,BSIV Swift VXI,Coimbatore,2016,37806,Petrol,Manual,First,20.4,1197.0,81.8,5.0,0,5741.06
Maruti,A-Star Vxi,Pune,2009,85000,Petrol,Manual,Third,19.0,998.0,66.1,5.0,0,1987.29
Tata,BSIV Nano,Chennai,2011,35000,Petrol,Manual,First,25.4,624.0,37.48,4.0,0,1766.48
Ford,Figo Titanium,Kolkata,2015,72035,Diesel,Manual,First,25.5,1498.0,99.0,5.0,1,2760.125
Fiat,Emotion Linea,Jaipur,2011,48500,Petrol,Manual,First,16.0,1368.0,90.0,5.0,0,2760.125
Ford,1.2 Aspire Figo Ti-VCT Trend,Coimbatore,2017,28854,Petrol,Manual,First,18.16,1196.0,86.8,5.0,0,7397.135
Maruti,Baleno LXI,Hyderabad,2005,92450,Petrol,Manual,First,15.4,1590.0,94.0,5.0,0,1324.86
BMW,3 320d Line Luxury Series,Coimbatore,2016,14351,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,0,39248.97749999999
Chevrolet,Cruze LTZ,Jaipur,2017,51087,Diesel,Manual,First,17.9,1998.0,163.7,5.0,0,8556.387499999999
Mahindra,2.6 DX Scorpio,Chennai,2005,50000,Diesel,Manual,First,12.7,2609.0,116.6,8.0,0,2141.857
Tata,Indica V2 eLS,Hyderabad,2016,73000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,0,2428.9100000000003
Chevrolet,Cruze LTZ,Ahmedabad,2011,60000,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,0,4195.389999999999
Toyota,2.5 8-seater Innova V,Chennai,2016,50000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,0,17278.3825
Mercedes-Benz,220d Avantgarde C C-Class Edition New,Coimbatore,2018,36797,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,0,43576.8535
Maruti,Ritz VXi,Kolkata,2011,50000,Petrol,Manual,Second,18.5,1197.0,85.8,5.0,0,1656.0749999999998
Toyota,(Diesel) 2.5 8 BS GX IV Innova Seater,Ahmedabad,2013,94000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,0,9770.842499999999
Toyota,4x4 Fortuner,Bangalore,2013,74000,Diesel,Manual,Second,12.55,2982.0,168.5,7.0,0,19762.495
Hyundai,Sportz i10,Coimbatore,2014,41016,Petrol,Automatic,Second,16.95,1197.0,78.9,5.0,0,5608.574
Hyundai,1.6 SX Verna,Bangalore,2012,67000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,0,6900.3125
Audi,2012-2015 35 Plus Premium Q3 Quattro,Bangalore,2015,76927,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,0,25117.1375
Chevrolet,Beat LS,Kolkata,2010,17088,Petrol,Manual,First,18.6,1199.0,79.4,5.0,0,1611.9129999999998
Ford,1.4 Duratorq Fiesta ZXI,Pune,2007,112808,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,0,2263.3025
Ford,EXI Figo,Coimbatore,2014,74980,Diesel,Manual,First,20.0,1399.0,68.0,5.0,0,4504.524
Maruti,Celerio VXI,Hyderabad,2014,44600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,0,5023.4275
Mercedes-Benz,A A180 CDI Class,Mumbai,2013,37000,Diesel,Automatic,First,20.0,2143.0,107.3,5.0,0,15456.699999999999
Hyundai,1.6 Creta SX,Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591.0,121.3,5.0,1,12034.145
Maruti,BS IV R VXI Wagon,Bangalore,2010,81245,Petrol,Manual,First,18.9,998.0,67.1,5.0,0,2704.9225
Mercedes-Benz,2009-2013 220 Avantgarde CDI E E-Class,Delhi,2013,70000,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,0,17443.99
Ford,1.5 BE EcoSport Ti Titanium VCT,Mumbai,2017,4018,Petrol,Manual,First,18.88,1499.0,110.4,5.0,0,9108.4125
Renault,2.0,Delhi,2013,70000,Diesel,Automatic,Second,13.73,1995.0,148.0,5.0,0,9384.425
Mahindra,2WD W10 XUV500,Coimbatore,2016,56532,Diesel,Manual,First,16.0,2179.0,140.0,7.0,0,17156.936999999998
Maruti,8 E Omni STD,Hyderabad,2013,26875,Petrol,Manual,First,16.8,796.0,34.2,8.0,0,2594.5175
Maruti,R VXI Wagon,Coimbatore,2015,72599,Petrol,Manual,First,22.5,998.0,67.04,5.0,1,4769.496
Ford,4X2 Endeavour TDCi,Jaipur,2008,205000,Diesel,Manual,Second,13.1,2499.0,141.0,7.0,0,4305.795
Hyundai,1.6 SX Verna,Hyderabad,2011,98000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,0,5741.06
Hyundai,1.2 Magna i20,Mumbai,2018,19500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,0,6458.692499999999
Maruti,Ertiga ZXI,Bangalore,2013,68000,Petrol,Manual,Second,16.02,1373.0,93.7,7.0,0,6900.3125
Mahindra,XUV500,Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,1,19464.401499999996
Maruti,200 Cross DDiS S SX4 Zeta,Mumbai,2017,26000,Diesel,Manual,First,23.65,1248.0,88.5,5.0,0,10764.4875
Mercedes-Benz,350,Bangalore,2015,10000,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,0,60722.75
Volkswagen,1.2L Comfortline Polo,Hyderabad,2011,75020,Diesel,Manual,First,22.07,1199.0,73.9,5.0,0,4526.605
Toyota,4x4 Fortuner,Hyderabad,2011,157000,Diesel,Manual,First,12.55,2982.0,168.5,7.0,0,13237.5595
Mahindra,2WD W10 XUV500,Kochi,2017,43773,Diesel,Manual,First,16.0,2179.0,140.0,7.0,0,14948.836999999998
Mercedes-Benz,GLE,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,1,61826.799999999996
Honda,1.2 Jazz VTEC VX i,Chennai,2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,0,7176.325
Maruti,Dzire Swift VDI,Pune,2013,88000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,0,5244.2375
Hyundai,1.6 SX VTVT Verna,Hyderabad,2014,67000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,0,6182.679999999999
Ford,3.2 4X4 Endeavour Titanium,Coimbatore,2017,59636,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,0,32238.26
Hyundai,1.2 Asta Option i20,Kolkata,2018,11000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,0,7010.7175
Honda,1.5 City Sunroof V,Mumbai,2013,60669,Petrol,Manual,First,16.8,1497.0,116.3,5.0,0,5465.0475
Honda,Amaze VX,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,1,9384.425
Hyundai,(O) 1.6 SX VTVT Verna,Kolkata,2013,35000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,0,4968.224999999999
Honda,DTEC Mobilio S i,Chennai,2015,65000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,0,6072.275
Maruti,Ertiga ZDI,Kochi,2013,39929,Diesel,Manual,First,20.77,1248.0,88.8,7.0,0,7242.567999999999
Maruti,Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,1,2539.3149999999996
Toyota,FS,Pune,2004,77757,Diesel,Manual,Second,13.1,2446.0,75.0,10.0,0,3864.1749999999997
Hyundai,Sportz i10,Kochi,2016,21456,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0,5023.4275
Skoda,1.9 Ambiente Laura,Bangalore,2009,74000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,0,8556.387499999999
Hyundai,1.2 Asta Option i20,Mumbai,2015,37000,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,0,5796.2625
BMW,2003-2012 5 530d Highline Series,Coimbatore,2013,108640,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,0,25713.3245
BMW,3 320d M Series Sport,Mumbai,2016,38000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,0,26486.159499999998
Chevrolet,1.4 ABS Aveo BSIV LT,Pune,2010,80000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,0,1976.2495
Mercedes-Benz,2009-2013 CDI E-Class E250 Elegance,Mumbai,2011,47000,Diesel,Automatic,Second,14.21,2143.0,203.0,5.0,0,15346.295
Audi,2.0 2011-2015 A6 Plus Premium,Kolkata,2013,31000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,0,20921.747499999998
Maruti,BS IV LXI R Wagon,Kolkata,2014,40000,Petrol,Manual,First,20.51,998.0,67.04,5.0,0,2749.0845
Renault,KWID RXT,Jaipur,2016,4152,Petrol,Manual,First,25.17,799.0,53.3,5.0,0,3477.7574999999997
Volkswagen,1.5 Ameo Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498.0,108.62,5.0,1,7121.1224999999995
Volkswagen,1.2L Comfortline Polo,Ahmedabad,2013,55000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,0,4692.2125
Maruti,800 Alto LXI,Hyderabad,2014,58500,Petrol,Manual,First,22.74,796.0,47.3,5.0,0,3036.1375
Hyundai,1.2 Asta Option i20,Kochi,2017,58620,Petrol,Manual,First,18.6,1197.0,81.83,5.0,0,7882.9169999999995
Toyota,Etios G Liva,Mumbai,2012,29605,Petrol,Manual,First,18.3,1197.0,,5.0,0,2693.8819999999996
Hyundai,1.2 Sportz i20,Jaipur,2012,71172,Petrol,Manual,Third,17.0,1197.0,80.0,5.0,0,3864.1749999999997
Hyundai,1.4 Asta i20,Chennai,2017,12000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,0,8059.565
Maruti,LXI Optional R Wagon,Kolkata,2014,25000,Petrol,Manual,First,20.51,998.0,67.04,5.0,0,3036.1375
Hyundai,1.4 Asta Option i20,Bangalore,2017,43000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,0,9053.21
Volkswagen,GT Polo TSI,Mumbai,2015,57022,Petrol,Automatic,First,17.21,1197.0,103.6,5.0,0,7187.3655
Ford,Figo Titanium,Pune,2015,92000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,0,4692.2125
Maruti,Swift ZXI,Coimbatore,2014,33372,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,0,6856.1505
Hyundai,CRDi Grand Magna i10,Kochi,2016,52625,Diesel,Manual,First,24.0,1120.0,70.0,5.0,0,5056.549
Mahindra,H4 Xylo,Chennai,2016,215000,Diesel,Manual,First,14.02,2179.0,118.3,7.0,1,8280.375
Maruti,(CNG) Alto Green LXi,Delhi,2012,65537,CNG,Manual,First,37.562,796.0,38.4,5.0,0,2318.505
Hyundai,1.1 Magna i10,Coimbatore,2014,60138,Petrol,Manual,First,19.81,1086.0,68.05,5.0,0,4515.5644999999995
Skoda,2.0 Elegance Octavia,Mumbai,2014,84000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,0,11868.5375
BMW,30d 7 Design Pure Seater X5 xDrive,Mumbai,2014,47000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,0,45818.075
Maruti,Celerio VXI,Hyderabad,2014,33450,Petrol,Automatic,First,23.1,998.0,67.04,5.0,0,4857.820000000001
Volkswagen,Comfortline Vento,Jaipur,2013,125000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,0,6900.3125
BMW,3 320d Highline Series,Pune,2011,99606,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,0,11592.525
Maruti,Ertiga ZDI,Mumbai,2014,64000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,0,8004.362499999999
Ford,Figo ZXI,Hyderabad,2013,51000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,0,3532.96
Volkswagen,1.2 Highline MPI Polo,Mumbai,2014,57000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,0,4360.9975
Audi,3.0 A6 quattro,Coimbatore,2009,48040,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,0,13325.8835
Toyota,2.4 Crysta Innova ZX,Pune,2017,43200,Diesel,Manual,First,13.68,2393.0,147.8,7.0,1,20535.33
Hyundai,1.6 CRDi EX Verna,Delhi,2013,66000,Diesel,Automatic,First,22.32,1582.0,126.3,5.0,0,6293.085
Hyundai,GL Plus Santro Xing,Kolkata,2013,31000,Petrol,Manual,First,17.92,1086.0,62.1,5.0,0,1932.0874999999999
Audi,2.0 A4,Delhi,2011,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,0,12133.5095
Audi,2.0 A4,Kolkata,2012,47346,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,0,16008.724999999999
Skoda,1.9 Ambiente Laura,Jaipur,2009,100000,Diesel,Manual,First,17.0,1896.0,105.0,5.0,0,3433.5955
Honda,2.0L 2WD CR-V,Coimbatore,2015,63856,Petrol,Automatic,First,13.7,1997.0,153.86,5.0,0,15412.538
Hyundai,(O) 1.6 CRDi SX Verna,Coimbatore,2015,72996,Diesel,Manual,First,22.32,1582.0,126.32,5.0,0,7849.7955
Honda,DTEC Mobilio RS i,Chennai,2014,23000,Diesel,Manual,First,24.5,1498.0,98.6,7.0,0,7617.945
Hyundai,1.2 Asta Option i20,Coimbatore,2018,15985,Petrol,Manual,First,18.6,1197.0,81.83,5.0,0,8578.468499999999
Toyota,(Diesel) 2.5 7 BS G IV Innova Seater,Kolkata,2011,98000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,0,6072.275
Hyundai,1.2 Magna i20,Hyderabad,2014,70089,Petrol,Manual,First,18.6,1197.0,81.83,5.0,0,5906.6675
Mahindra,BS Bolero IV VLX,Chennai,2011,99000,Diesel,Manual,Second,13.6,2523.0,63.0,7.0,0,4968.224999999999
Volkswagen,1.5 Comfortline Vento,Jaipur,2014,72000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,0,5244.2375
Jaguar,2.2 Litre Luxury XF,Coimbatore,2015,44194,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,0,36212.84
Maruti,- BS III LXi Zen,Mumbai,2005,102000,Petrol,Manual,First,17.3,993.0,60.0,5.0,0,772.8349999999999
Mercedes-Benz,E-Class,Coimbatore,2018,56652,Diesel,Automatic,First,13.0,2987.0,258.0,5.0,0,55522.674499999994
Toyota,3.0 Fortuner,Mumbai,2010,41650,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,0,12133.5095
Hyundai,Asta Grand i10,Coimbatore,2015,61717,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,0,6149.5585
Hyundai,1.2 CRDi S Xcent,Jaipur,2018,25302,Diesel,Manual,First,25.4,1186.0,73.97,5.0,1,6513.895
Hyundai,1.6 Creta S VTVT,Coimbatore,2016,47016,Petrol,Manual,First,15.29,1591.0,121.3,5.0,0,10411.191499999999
Hyundai,Sportz i10,Bangalore,2010,69000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0,3201.745
Honda,Brio S,Delhi,2016,32700,Petrol,Manual,First,19.4,1198.0,86.8,5.0,0,4062.904
Toyota,4x2 Fortuner,Coimbatore,2015,101337,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,0,23924.7635
